City[1],Year grantedor confirmed,Cathedral(pre-1889 England & Wales only),City council,Nation/region,Image,Population
Nottingham1,1897,not applicable,Local government district(Unitary) Map,"East Midlands, England",,"305,680 (2011)[20]"
Oxford1,1542,Cathedral Church of Christ,Local government district(Non-metropolitan borough) Map,"South East, England",,"151,906 (2011)[20]"
Perth(Scots: Pairth)(Scottish Gaelic: Peairt),2012[29](Burgh: 12th century)[31],not applicable,None Map,Scotland,,"45,77038"
Peterborough2,1541,"Cathedral Church of St Peter, St Paul, & St Andrew",Local government district(Unitary) Map,"East, England",,"183,631 (2011)[20]"
Plymouth1,192827,not applicable,Local government district(Unitary) Map,"South West, England",,"256,384 (2011)[20]"
Portsmouth1,192624,not applicable,Local government district(Unitary) Map,"South East, England",,"205,056 (2011)[20]"
Preston14,2002,not applicable,Local government district(Non-metropolitan borough) Map,"North West, England",,"140,202 (2011)[20]"
Ripon1,1865,Cathedral Church of SS Peter & Wilfrid (diocese created in 1836),Civil parish Map,"Yorkshire and the Humber, England",,"16,702 (2011)[32]"
St Albans7,187736,Cathedral & Abbey Church of St Alban,Local government district(Non-metropolitan borough) Map,"East, England",,"140,644 (2011)[20]"
St Asaph37(Welsh: Llanelwy),2012,not applicable,Community Map,Wales,,"3,355 (2011)[33]"
St Davids20(Welsh: Tyddewi),1994,St Davids,Community Map,Wales,,"1,841 (2011)[34]"
Salford1,192624,not applicable,Local government district(Metropolitan borough) Map,"North West, England",,"233,933 (2011)[20]"
Salisbury35,1227,Cathedral Church of St Mary,Civil parish‡ Map,"South West, England",,"40,302 (2011)[35]"
Sheffield3,1893,not applicable,Local government district(Metropolitan borough) Map,"Yorkshire and the Humber, England",,"552,698 (2011)[20]"
Southampton1,1964,not applicable,Local government district(Unitary) Map,"South East, England",,"236,882 (2011)[20]"
Stirling(Scots: Stirlin)(Scottish Gaelic: Sruighlea),2002,not applicable,None Map,Scotland,,"34,79038"
Stoke-on-Trent3,192528,not applicable,Local government district(Unitary) Map,"West Midlands, England",,"249,008 (2011)[20]"
Sunderland18,1992,not applicable,Local government district(Metropolitan borough) Map,"North East, England",,"275,506 (2011)[20]"
Swansea9(Welsh: Abertawe),196923,not applicable,Local government district(Principal area) Map,Wales,,"239,023 (2011)[20]"
Truro1(Cornish: Truru),1877,Cathedral Church of St Mary,Civil parish Map,"South West, England",,"18,766 (2011)[36]"
Wakefield3,1888,Cathedral Church of All Saints,Local government district(Metropolitan borough) Map,"Yorkshire and the Humber, England",,"325,837 (2011)[20]"
Wells1,time immemorial,Cathedral Church of St Andrew,Civil parish Map,"South West, England",,"10,536 (2011)[37]"
Westminster21,1540,"Westminster Abbey4 (Although this was only a cathedral for 10 years until 1550, the city did not lose its status)",Local government district(London borough) Map,London,,"219,396 (2011)[20]"
Winchester1,time immemorial,Cathedral Church of the Holy Trinity,Local government district(Non-metropolitan borough) Map,"South East, England",,"116,595 (2011)[20]"
Wolverhampton16,2000,not applicable,Local government district(Metropolitan borough) Map,"West Midlands, England",,"249,470 (2011)[20]"
Worcester3,time immemorial,Cathedral Church of Christ & St Mary,Local government district(Non-metropolitan borough) Map,"West Midlands, England",,"98,768 (2011)[20]"
"York1,8",time immemorial,Cathedral & Metropolitical Church of St Peter,Local government district(Unitary) Map,"Yorkshire and the Humber, England",,"198,051 (2011)[20]"
